Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
HM-10-3,HM,4600,3500,-1100,5.5,Warming,Non-inverted,7.068346667,2946.495863,11.91,9.119655325,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-10-4,HM,4600,3500,-1100,5.5,Warming,Non-inverted,8.554133333,2946.495863,12.91,11.03663293,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-10-5,HM,4600,3500,-1100,5.5,Warming,Non-inverted,4.88258,2946.495863,11.25,6.299556148,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-5-1,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.446293333,2946.495863,11.66666667,7.026865028,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-5-2,HM,4600,3500,-1100,5.5,Warming,Non-inverted,8.03951,2946.495863,11.45333333,10.37266049,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-5-3,HM,4600,3500,-1100,5.5,Warming,Non-inverted,2.52106,2946.495863,12.69666667,3.252698168,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-5-4,HM,4600,3500,-1100,5.5,Warming,Non-inverted,8.467156667,2946.495863,11.47,10.92441472,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-5-5,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.797385,2946.495863,13.325,7.479847195,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-10-1,HMR,4600,3500,-1100,5.5,Warming,Inverted,4.802886667,2946.495863,11.96666667,6.19673497,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-10-2,HMR,4600,3500,-1100,5.5,Warming,Inverted,5.482456667,2946.495863,12.59333333,7.073523342,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-10-3,HMR,4600,3500,-1100,5.5,Warming,Inverted,6.189046667,2946.495863,13.29333333,7.985173203,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-10-4,HMR,4600,3500,-1100,5.5,Warming,Inverted,4.59847,2946.495863,12.81666667,5.932994433,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-10-5,HMR,4600,3500,-1100,5.5,Warming,Inverted,4.79345,2946.495863,12.87666667,6.184559683,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-5-1,HMR,4600,3500,-1100,5.5,Warming,Inverted,3.747606667,2946.495863,11.48333333,4.835201598,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-5-2,HMR,4600,3500,-1100,5.5,Warming,Inverted,3.282678,2946.495863,11.33666667,4.235345734,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HMR-5-3,HMR,4600,3500,-1100,5.5,Warming,Inverted,4.306886667,2946.495863,11.81333333,5.556790545,-1100,7.66,13,5.34,53.66,5.37,0.183415617
