Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
MH-5-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.960572333,3029.141501,1.196666667,1.468666667,1.205526972,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-5-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,1.900353333,3029.141501,-1.356666667,1.125666667,2.384960633,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-10-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.5891155,3029.141501,0.34,1.4335,0.739345284,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-10-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.503345167,3029.141501,-0.413333333,1.299333333,0.63170274,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-10-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.435623333,3029.141501,0.423333333,1.183666667,0.546711226,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-10-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.03717,3029.141501,0.4,1.26,1.301657737,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-10-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.564441222,3029.141501,0.282222222,1.38887037,0.708378843,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-5-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.645612667,3029.141501,-0.123333333,1.615333333,0.81024974,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-5-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.32978,3029.141501,0.36,1.334,0.413876885,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-5-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.634765167,3029.141501,1.023333333,1.679,0.796636029,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-5-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.596577,3029.141501,0.376666667,1.182333333,0.748709535,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MHR-5-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.307982167,3029.141501,0.153333333,1.512666667,0.386520407,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
HL-10-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.014925667,2946.495863,9.536666667,1.167333333,1.309467786,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-10-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.821153333,2946.495863,7.893333333,1.245666667,2.349671214,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-10-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,3.46378,2946.495863,7.373333333,1.217333333,4.469005442,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-10-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.26903,2946.495863,8.475,1.1515,1.637315874,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-10-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.017575667,2946.495863,8.913333333,1.263666667,1.312886844,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-5-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,2.222146667,2946.495863,6.836666667,1.168,2.867037037,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-5-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.324747667,2946.495863,7.69,1.127,1.709203394,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-5-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.858863333,2946.495863,9.293333333,1.115,2.398325053,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-5-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,2.104276667,2946.495863,8.023333333,1.219333333,2.714959921,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HL-5-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,1.398545,2946.495863,7.7,1.148,1.804417491,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-10-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,0.58471,2946.495863,6.6,1.187,0.754399001,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-10-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,0.5663515,2946.495863,9.205,1.0875,0.730712671,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-10-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.211005,2946.495863,8.186666667,1.191,1.562451407,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-10-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.132272667,2946.495863,8.096666667,1.188333333,1.460870122,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-10-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.671669667,2946.495863,7.406666667,1.239666667,2.156805813,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-5-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,0.869827333,2946.495863,10.11666667,1.174333333,1.122260388,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-5-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.586319333,2946.495863,7.366666667,1.121666667,2.046685914,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-5-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.681899667,2946.495863,9.173333333,1.169333333,2.170004667,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-5-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.118783333,2946.495863,9.023333333,1.229,1.443466042,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HLR-5-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,1.14436,2946.495863,8.793333333,1.141666667,1.476465326,0.39,8.04,7.65,-2200,53.66,5.37,0.183415617
HM-10-1,HM,4600,3500,-1100,5.5,Warming,Non-inverted,0.991999667,2946.495863,-0.736666667,1.197333333,1.279888419,0.39,0.99,0.6,-1100,53.66,5.37,0.183415617
HM-10-2,HM,4600,3500,-1100,5.5,Warming,Non-inverted,1.71473,2946.495863,-1.66,0.983,2.212362708,0.39,0.99,0.6,-1100,53.66,5.37,0.183415617
HM-10-3,HM,4600,3500,-1100,5.5,Warming,Non-inverted,1.868893,2946.495863,-0.486666667,1.217333333,2.411265435,0.39,0.99,0.6,-1100,53.66,5.37,0.183415617
HM-10-4,HM,4600,3500,-1100,5.5,Warming,Non-inverted,1.660903667,2946.495863,-0.623333333,1.24,2.142915406,0.39,0.99,0.6,-1100,53.66,5.37,0.183415617
HM-10-5,HM,4600,3500,-1100,5.5,Warming,Non-inverted,1.932605,2946.495863,1.203333333,1.42,2.493467329,0.39,0.99,0.6,-1100,53.66,5.37,0.183415617
